edad;ingresos;vivienda;tiempo trabajado;motivo;scoring;cantidad;tipo de interes;solvencia;ratio endeudamiento;impagos;historial crediticio
21;9600;pagada;5;estudios;B;1000;11.14;0;0.1;no;2
25;9600;hipoteca;1;medico;C;5500;12.87;1;0.57;no;3
23;65500;alquiler;4;medico;C;35000;15.23;1;0.53;no;2
24;54400;alquiler;8;medico;C;35000;14.27;1;0.55;si;4
21;9900;pagada;2;viaje;A;2500;7.14;1;0.25;no;2
26;77100;alquiler;8;estudios;B;35000;12.42;1;0.45;no;3
24;78956;alquiler;5;medico;B;35000;11.11;1;0.44;no;4
24;83000;alquiler;8;personal;A;35000;8.9;1;0.42;no;2
21;10000;pagada;6;viaje;D;1600;14.74;1;0.16;no;3
22;85000;alquiler;6;viaje;B;35000;10.37;1;0.41;no;4
21;10000;pagada;2;reforma;A;4500;8.63;1;0.45;no;2
23;95000;alquiler;2;viaje;A;35000;7.9;1;0.37;no;2
26;108160;alquiler;4;estudios;D;35000;18.39;1;0.32;no;4
23;115000;alquiler;2;estudios;A;35000;7.9;0;0.3;no;4
23;500000;hipoteca;7;deuda;B;30000;10.65;0;0.06;no;3
23;120000;alquiler;0;estudios;A;35000;7.9;0;0.29;no;4
23;92111;alquiler;7;medico;D;35000;20.25;1;0.32;no;4
23;113000;alquiler;8;deuda;D;35000;18.25;1;0.31;no;4
24;10800;hipoteca;8;estudios;B;1750;10.99;1;0.16;no;2
25;162500;alquiler;2;viaje;A;35000;7.49;0;0.22;no;4
25;137000;alquiler;9;personal;D;34800;16.77;0;0.25;si;2
22;65000;alquiler;4;estudios;D;34000;17.58;1;0.52;no;4
24;10980;pagada;0;personal;A;1500;7.29;0;0.14;no;3
22;80000;alquiler;3;personal;D;33950;14.54;1;0.42;si;4
24;67746;alquiler;8;reforma;C;33000;12.68;1;0.49;no;3
21;11000;hipoteca;3;viaje;D;4575;17.74;1;0.42;si;3
23;11000;pagada;0;personal;A;1400;9.32;0;0.13;no;3
24;65000;alquiler;6;reforma;B;32500;9.99;1;0.5;no;3
21;11389;pagada;5;estudios;C;4000;12.84;1;0.35;si;2
21;11520;pagada;5;medico;B;2000;11.12;1;0.17;no;3
25;120000;alquiler;2;viaje;A;32000;6.62;0;0.27;no;2
26;95000;alquiler;7;reforma;C;31050;14.17;1;0.33;si;3
25;306000;alquiler;2;deuda;C;24250;13.85;0;0.08;no;3
26;300000;hipoteca;10;medico;C;7800;13.49;0;0.03;no;4
21;12000;pagada;5;estudios;A;2500;7.51;1;0.21;no;4
22;48000;alquiler;1;estudios;D;30000;18.39;1;0.63;no;2
24;64000;alquiler;8;deuda;D;30000;14.54;1;0.47;si;3
25;75000;alquiler;4;reforma;D;30000;16.89;1;0.4;si;4
23;71500;alquiler;3;deuda;D;30000;;1;0.42;no;4
26;62050;alquiler;6;medico;D;30000;17.99;1;0.41;no;2
24;12000;pagada;4;viaje;B;2500;12.69;1;0.21;no;3
26;300000;hipoteca;10;viaje;A;20000;7.88;0;0.07;no;4
23;300000;pagada;1;estudios;D;24250;19.41;0;0.08;si;2
26;300000;pagada;9;reforma;B;10000;10.38;0;0.03;no;4
26;300000;hipoteca;0;estudios;D;25000;15.33;0;0.08;no;3
25;300000;hipoteca;9;reforma;D;18000;16.45;0;0.06;no;3
26;80690;alquiler;8;personal;A;30000;7.49;1;0.37;no;3
22;66300;alquiler;4;medico;B;30000;12.69;1;0.38;no;3
